constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
0.75,1.0,0.5178485254,188,0.0025,5.0,1.0,0.613611795,0.4288163485,0.8,0,2.592,ok,15.0,30.0
0.75,1.0,0.7487532338,189,0.001,5.0,4.0,0.796206274,0.037265201,0.7,0,2.262,ok,30.0,30.0
0.75,1.0,0.7491086368,190,0.0025,5.0,4.0,0.7966082119,0.0374978752,0.7,0,2.162,ok,30.0,30.0
0.75,1.0,0.7478821393,191,0.001,5.0,4.0,0.7953748375,0.0374634909,0.8,0,2.493,ok,30.0,30.0
0.75,1.0,0.7484084552,192,0.0025,5.0,4.0,0.7960071752,0.0379935999,0.8,0,2.227,ok,30.0,30.0
0.25,1.0,-0.2842022377,193,0.001,7.5,7.0,-0.0385135722,0.8784433276,0.7,0,2.466,ok,15.0,15.0
0.25,1.0,-0.2844431083,194,0.0025,7.5,7.0,-0.0387216143,0.8786074702,0.7,0,2.222,ok,15.0,15.0
0.25,1.0,-0.313488927,195,0.001,7.5,7.0,-0.0677379884,0.8787546931,0.8,0,2.486,ok,15.0,15.0
0.25,1.0,-0.3140150607,196,0.0025,7.5,7.0,-0.0681971033,0.879089787,0.8,0,2.22,ok,15.0,15.0
0.25,1.0,0.7029253856,197,0.001,7.5,5.0,0.8130496502,0.3006213226,0.7,0,2.473,ok,30.0,15.0
0.25,1.0,0.7028688734,198,0.0025,7.5,5.0,0.8130463324,0.300887295,0.7,0,2.184,ok,30.0,15.0
0.25,1.0,0.6957355584,199,0.001,7.5,5.0,0.8059012102,0.3008282589,0.8,0,2.61,ok,30.0,15.0
0.25,1.0,0.6954869747,200,0.0025,7.5,5.0,0.8057679018,0.3014046357,0.8,0,2.225,ok,30.0,15.0
0.25,1.0,0.0085599082,201,0.001,7.5,4.0,0.1998984112,0.756692515,0.7,0,2.283,ok,15.0,20.0
0.25,1.0,0.0082303588,202,0.0025,7.5,4.0,0.1996212716,0.7569545638,0.7,0,2.509,ok,15.0,20.0
0.25,1.0,-0.0180227269,203,0.001,7.5,4.0,0.1733569753,0.7568985109,0.8,0,2.049,ok,15.0,20.0
0.25,1.0,-0.0188236073,204,0.0025,7.5,4.0,0.1726703034,0.7574695536,0.8,0,2.472,ok,15.0,20.0
0.25,1.0,0.782234326,205,0.001,7.5,1.0,0.8399290445,0.2384735925,0.7,0,2.213,ok,30.0,20.0
0.25,1.0,0.7822323603,206,0.0025,7.5,1.0,0.8399772033,0.2387242147,0.7,0,2.481,ok,30.0,20.0
0.25,1.0,0.7771673239,207,0.001,7.5,1.0,0.8349026708,0.2386767342,0.8,0,2.249,ok,30.0,20.0
0.25,1.0,0.7770026401,208,0.0025,7.5,1.0,0.8348490539,0.2392320689,0.8,0,2.533,ok,30.0,20.0
