constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
0.75,1.0,0.2495021342,139,0.01,20.0,0.0,0.2942289322,0.22363399,0.9,0,3.561,ok,30.0,30.0
0.75,1.0,0.211942813,140,0.02,20.0,0.0,0.2546134866,0.2133533679,0.9,0,2.278,ok,30.0,30.0
0.75,1.0,0.406472699,141,0.01,20.0,0.0,0.5094887196,0.515080103,0.85,0,2.224,ok,60.0,30.0
0.75,1.0,0.3977243826,142,0.02,20.0,0.0,0.4990849129,0.5068026516,0.85,0,2.225,ok,60.0,30.0
0.75,1.0,0.4007430712,143,0.01,20.0,0.0,0.5033584576,0.5130769323,0.9,0,2.28,ok,60.0,30.0
0.75,1.0,0.3842403445,144,0.02,20.0,0.0,0.4847996066,0.5027963102,0.9,0,2.264,ok,60.0,30.0
0.75,1.0,0.597113886,145,0.01,20.0,0.0,0.6725266535,0.3770638377,0.85,0,2.545,ok,30.0,45.0
0.75,1.0,0.5905474141,146,0.02,20.0,0.0,0.6643046913,0.3687863863,0.85,0,2.271,ok,30.0,45.0
0.75,1.0,0.5967933905,147,0.01,20.0,0.0,0.6718055239,0.375060667,0.9,0,2.507,ok,30.0,45.0
0.75,1.0,0.5873506137,148,0.02,20.0,0.0,0.6603066226,0.3647800449,0.9,0,2.219,ok,30.0,45.0
0.75,1.0,0.248488286,149,0.01,20.0,0.0,0.3726369981,0.6207435605,0.85,0,2.537,ok,60.0,45.0
0.75,1.0,0.2515243413,150,0.02,20.0,0.0,0.3740175631,0.6124661091,0.85,0,2.303,ok,60.0,45.0
0.75,1.0,0.2438949171,151,0.01,20.0,0.0,0.367642995,0.6187403898,0.9,0,2.183,ok,60.0,45.0
0.75,1.0,0.2403128212,152,0.02,20.0,0.0,0.3620047747,0.6084597678,0.9,0,2.337,ok,60.0,45.0
0.75,1.0,0.4671755598,153,0.01,20.0,0.0,0.5758036677,0.5431405398,0.85,0,2.339,ok,30.0,60.0
0.75,1.0,0.4763378935,154,0.02,20.0,0.0,0.5833105112,0.5348630884,0.85,0,2.444,ok,30.0,60.0
0.75,1.0,0.4692007069,155,0.01,20.0,0.0,0.5774281807,0.5411373691,0.9,0,2.163,ok,30.0,60.0
0.75,1.0,0.4783627392,156,0.02,20.0,0.0,0.5845340886,0.530856747,0.9,0,2.505,ok,30.0,60.0
0.75,1.0,-0.9601804221,157,0.01,20.0,91.0,0.0902757493,0.7022808569,0.85,0,2.298,ok,60.0,60.0
0.75,1.0,-0.9508722116,158,0.02,20.0,91.0,0.0986900232,0.6978111738,0.85,0,2.48,ok,60.0,60.0
0.75,1.0,-0.9646170662,159,0.01,20.0,91.0,0.0853540799,0.699855731,0.9,0,2.218,ok,60.0,60.0
0.75,1.0,-0.9617702823,160,0.02,20.0,91.0,0.0868219021,0.6929609219,0.9,0,2.262,ok,60.0,60.0
1.0,1.0,0.0738857853,161,0.01,20.0,0.0,0.0956746475,0.1089443109,0.85,0,2.466,ok,30.0,20.0
1.0,1.0,0.038410829,162,0.02,20.0,0.0,0.0585442009,0.1006668595,0.85,0,2.166,ok,30.0,20.0
1.0,1.0,0.0717498884,163,0.01,20.0,0.0,0.0931381164,0.1069411402,0.9,0,2.45,ok,30.0,20.0
1.0,1.0,0.0281789459,164,0.02,20.0,0.0,0.0475110495,0.0966605181,0.9,0,2.216,ok,30.0,20.0
